school_id,school_name,street_address,city,state_code,zip_code,locale_code
10000500871,Albertville High Sch,402 E McCord Ave,Albertville,AL,35950,32
10000600878,Douglas High Sch,225 Eagle Drive,Douglas,AL,35964,42
10000600883,Kate D Smith DAR High Sch,6077 Main St,Grant,AL,35747,42
10000601585,Brindlee Mt High Sch,994 Scant City Road,Guntersville,AL,35976,41
10000700251,Hoover High Sch,1000 Buccaneer Drive,Hoover,AL,35244,13
10000701456,Spain Park High Sch,4700 Jaguar Drive,Hoover,AL,35242,13
10000800831,Bob Jones High Sch,650 Hughes Rd,Madison,AL,35758,21
10000802198,James Clemens High School,11306 County Line Road,Madison,AL,35758,21
10001102096,Leeds High Sch,1500 Greenwave Drive,Leeds,AL,35094,21
10001200874,Boaz High Sch,907 Brown St,Boaz,AL,35957,32
10001301682,Hewitt-Trussville High Sch,6450 Husky Parkway,Trussville,AL,35173,41
10003000003,Benjamin Russell High Sch,225 Heard Blvd,Alexander City,AL,35010,32
10006000007,Andalusia High Sch,701 Third St,Andalusia,AL,36420,33
10009000011,Anniston High Sch,1301 Woodstock Ave,Anniston,AL,36207,13
10010000028,Arab High Sch,511 Arabian Dr NE,Arab,AL,35016,41
10012001472,Athens High Sch,100 Highway 31 N,Athens,AL,35611,31
10018000033,Etowah High Sch,201 Case Ave.,Attalla,AL,35954,23
10018502137,Saraland High Sch,1115 Industrial Parkway,Saraland,AL,36571,21
10018902195,Satsuma City High School,1 Gator Circle,Satsuma,AL,36572,21
10019001183,Thompson High School,100 Warrior Dr,Alabaster,AL,35007,21
10019402399,Pelham High School,2500 Panther Cir,Pelham,AL,35124,21
10021000036,Auburn High Sch,405 S Dean Rd,Auburn,AL,36830,13
10024000046,Marbury Sch,2360 Highway 31 North,Deatsville,AL,36022,41
10024000048,Prattville High Sch,1315 Upper Kingston Rd,Prattville,AL,36067,41
10027000024,Robertsdale High Sch,21630 Highway 59 South,Robertsdale,AL,36567,31
10027000100,Fairhope High Sch,18800 Greeno Rd,Fairhope,AL,36532,13
10027000641,Gulf Shores High Sch,600 E 15th Ave,Gulf Shores,AL,36542,41
10027001759,Daphne High Sch,9300 Champions Way,Daphne,AL,36526,13
10027001784,Foley High Sch,1 Pride Pl,Foley,AL,36535,31
10027001810,Baldwin Co High Sch,One Tiger Dr,Bay Minette,AL,36507,41
10027002073,Spanish Fort High Sch,One Plaza De Toros,Spanish Fort,AL,36527,41
10030000074,Barbour Co High Sch,165 S. Midway,Clayton,AL,36016,43
10033000087,Jess Lanier High Sch,4950 Premiere Parkway,Bessemer,AL,35022,21
10036000092,Bibb Co High Sch,220 Birmingham Rd,Centreville,AL,35042,32
10036000099,West Blocton High Sch,4734 Truman Aldrich Parkway,West Blocton,AL,35184,42
10039000073,Workshop Incorporate,2015 Park Place N,Birmingham,AL,35203,12
10039000141,Huffman High Sch-Magnet,900 Springville Rd,Birmingham,AL,35215,12
10039000164,Jackson-Olin High Sch,1300 Avenue F Ensley,Birmingham,AL,35218,12
10039000165,Parker High Sch,400 Abraham Woods Jr. Blvd.,Birmingham,AL,35204,12
10039000176,Ramsay High Sch,1800 13th Ave S,Birmingham,AL,35205,12
10039000192,Wenonah High Sch,2800 Wilson Rd SW,Birmingham,AL,35221,12
10039000198,Woodlawn High Sch-Magnet,5620 First Ave N,Birmingham,AL,35212,12
10039001468,George Washington Carver High Sch,3900 24th St N,Birmingham,AL,35207,12
10042000206,Cleveland High Sch,71 High School St,Cleveland,AL,35049,42
10042000208,Hayden High Sch,125 Atwood Road,Hayden,AL,35079,42
10042000209,JB Pennington High Sch,81 College St,Blountsville,AL,35031,42
10042000210,Locust Fork High Sch,77 School Rd,Locust Fork,AL,35097,42
10042000213,Susan Moore High Sch,4040 Susan Moore Rd,Blountsville,AL,35031,42
10045000216,TR Miller High Sch,1835 Douglas Ave,Brewton,AL,36426,32
